"student","occas","gpa","job","sex","high_school_gpa","admitted_to_university_of_their_choice","year","semester"
"1","year 1 semester 1",2.3,"2 hours","female",2.8,"yes",1,0
"1","year 1 semester 2",2.1,"2 hours","female",2.8,"yes",1,1
"1","year 2 semester 1",3,"2 hours","female",2.8,"yes",2,2
"1","year 2 semester 2",3,"2 hours","female",2.8,"yes",2,3
"1","year 3 semester 1",3,"2 hours","female",2.8,"yes",3,4
"1","year 3 semester 2",3.3,"2 hours","female",2.8,"yes",3,5
"2","year 1 semester 1",2.2,"2 hours","male",2.5,"no",1,0
"2","year 1 semester 2",2.5,"3 hours","male",2.5,"no",1,1
"2","year 2 semester 1",2.6,"2 hours","male",2.5,"no",2,2
"2","year 2 semester 2",2.6,"2 hours","male",2.5,"no",2,3
"2","year 3 semester 1",3,"2 hours","male",2.5,"no",3,4
"2","year 3 semester 2",2.8,"2 hours","male",2.5,"no",3,5
"3","year 1 semester 1",2.4,"2 hours","female",2.5,"yes",1,0
"3","year 1 semester 2",2.9,"2 hours","female",2.5,"yes",1,1
"3","year 2 semester 1",3,"2 hours","female",2.5,"yes",2,2
"3","year 2 semester 2",2.8,"3 hours","female",2.5,"yes",2,3
"3","year 3 semester 1",3.3,"2 hours","female",2.5,"yes",3,4
"3","year 3 semester 2",3.4,"2 hours","female",2.5,"yes",3,5
"4","year 1 semester 1",2.5,"3 hours","male",3.8,"no",1,0
"4","year 1 semester 2",2.7,"2 hours","male",3.8,"no",1,1
"4","year 2 semester 1",2.4,"2 hours","male",3.8,"no",2,2
"4","year 2 semester 2",2.7,"2 hours","male",3.8,"no",2,3
"4","year 3 semester 1",2.9,"2 hours","male",3.8,"no",3,4
"4","year 3 semester 2",2.7,"2 hours","male",3.8,"no",3,5
"5","year 1 semester 1",2.8,"2 hours","male",3.1,"yes",1,0
"5","year 1 semester 2",2.8,"2 hours","male",3.1,"yes",1,1
"5","year 2 semester 1",2.8,"2 hours","male",3.1,"yes",2,2
"5","year 2 semester 2",3,"2 hours","male",3.1,"yes",2,3
"5","year 3 semester 1",2.9,"2 hours","male",3.1,"yes",3,4
"5","year 3 semester 2",3.1,"2 hours","male",3.1,"yes",3,5
"6","year 1 semester 1",2.5,"2 hours","female",2.9,"no",1,0
"6","year 1 semester 2",2.4,"3 hours","female",2.9,"no",1,1
"6","year 2 semester 1",2.4,"3 hours","female",2.9,"no",2,2
"6","year 2 semester 2",2.3,"2 hours","female",2.9,"no",2,3
"6","year 3 semester 1",2.7,"3 hours","female",2.9,"no",3,4
"6","year 3 semester 2",2.8,"3 hours","female",2.9,"no",3,5
"7","year 1 semester 1",2.4,"3 hours","male",2.3,"yes",1,0
"7","year 1 semester 2",2.4,"2 hours","male",2.3,"yes",1,1
"7","year 2 semester 1",2.8,"3 hours","male",2.3,"yes",2,2
"7","year 2 semester 2",2.6,"2 hours","male",2.3,"yes",2,3
"7","year 3 semester 1",3,"2 hours","male",2.3,"yes",3,4
"7","year 3 semester 2",3,"2 hours","male",2.3,"yes",3,5
"8","year 1 semester 1",2.8,"2 hours","female",3.9,"yes",1,0
"8","year 1 semester 2",2.8,"2 hours","female",3.9,"yes",1,1
"8","year 2 semester 1",3.1,"2 hours","female",3.9,"yes",2,2
"8","year 2 semester 2",3.3,"2 hours","female",3.9,"yes",2,3
"8","year 3 semester 1",3.3,"2 hours","female",3.9,"yes",3,4
"8","year 3 semester 2",3.4,"2 hours","female",3.9,"yes",3,5
"9","year 1 semester 1",2.8,"2 hours","male",2,NA,1,0
"9","year 1 semester 2",2.7,"2 hours","male",2,NA,1,1
"9","year 2 semester 1",2.7,"3 hours","male",2,NA,2,2
"9","year 2 semester 2",3.1,"2 hours","male",2,NA,2,3
"9","year 3 semester 1",3.1,"2 hours","male",2,NA,3,4
"9","year 3 semester 2",3.5,"2 hours","male",2,NA,3,5
"10","year 1 semester 1",2.8,"2 hours","male",2.8,"yes",1,0
"10","year 1 semester 2",2.8,"2 hours","male",2.8,"yes",1,1
"10","year 2 semester 1",3,"2 hours","male",2.8,"yes",2,2
"10","year 2 semester 2",2.7,"3 hours","male",2.8,"yes",2,3
"10","year 3 semester 1",3,"2 hours","male",2.8,"yes",3,4
"10","year 3 semester 2",3,"2 hours","male",2.8,"yes",3,5
"11","year 1 semester 1",2.6,"2 hours","female",3.9,NA,1,0
"11","year 1 semester 2",2.9,"3 hours","female",3.9,NA,1,1
"11","year 2 semester 1",3.2,"2 hours","female",3.9,NA,2,2
"11","year 2 semester 2",3.6,"2 hours","female",3.9,NA,2,3
"11","year 3 semester 1",3.6,"2 hours","female",3.9,NA,3,4
"11","year 3 semester 2",3.8,"2 hours","female",3.9,NA,3,5
"12","year 1 semester 1",2.6,"3 hours","female",2.9,"yes",1,0
"12","year 1 semester 2",3,"2 hours","female",2.9,"yes",1,1
"12","year 2 semester 1",2.3,"2 hours","female",2.9,"yes",2,2
"12","year 2 semester 2",2.9,"2 hours","female",2.9,"yes",2,3
"12","year 3 semester 1",3.1,"2 hours","female",2.9,"yes",3,4
"12","year 3 semester 2",3.3,"2 hours","female",2.9,"yes",3,5
"13","year 1 semester 1",2.8,"2 hours","male",3.7,NA,1,0
"13","year 1 semester 2",3.1,"2 hours","male",3.7,NA,1,1
"13","year 2 semester 1",3.5,"2 hours","male",3.7,NA,2,2
"13","year 2 semester 2",3.6,"2 hours","male",3.7,NA,2,3
"13","year 3 semester 1",3.9,"2 hours","male",3.7,NA,3,4
"13","year 3 semester 2",3.9,"2 hours","male",3.7,NA,3,5
"14","year 1 semester 1",2.4,"2 hours","female",3.5,"yes",1,0
"14","year 1 semester 2",3,"2 hours","female",3.5,"yes",1,1
"14","year 2 semester 1",2.9,"2 hours","female",3.5,"yes",2,2
"14","year 2 semester 2",3,"2 hours","female",3.5,"yes",2,3
"14","year 3 semester 1",3.3,"2 hours","female",3.5,"yes",3,4
"14","year 3 semester 2",3.4,"2 hours","female",3.5,"yes",3,5
"15","year 1 semester 1",2.2,"2 hours","male",3.6,"no",1,0
"15","year 1 semester 2",2.7,"2 hours","male",3.6,"no",1,1
"15","year 2 semester 1",2.6,"3 hours","male",3.6,"no",2,2
"15","year 2 semester 2",2.6,"3 hours","male",3.6,"no",2,3
"15","year 3 semester 1",2.8,"3 hours","male",3.6,"no",3,4
"15","year 3 semester 2",2.8,"2 hours","male",3.6,"no",3,5
"16","year 1 semester 1",2.5,"2 hours","female",2.9,"no",1,0
"16","year 1 semester 2",2.7,"2 hours","female",2.9,"no",1,1
"16","year 2 semester 1",2.8,"2 hours","female",2.9,"no",2,2
"16","year 2 semester 2",2.7,"2 hours","female",2.9,"no",2,3
"16","year 3 semester 1",2.8,"2 hours","female",2.9,"no",3,4
"16","year 3 semester 2",2.8,"2 hours","female",2.9,"no",3,5
"17","year 1 semester 1",2.6,"2 hours","male",2.4,"yes",1,0
"17","year 1 semester 2",2.2,"2 hours","male",2.4,"yes",1,1
"17","year 2 semester 1",2.6,"2 hours","male",2.4,"yes",2,2
"17","year 2 semester 2",2.5,"3 hours","male",2.4,"yes",2,3
"17","year 3 semester 1",2.6,"3 hours","male",2.4,"yes",3,4
"17","year 3 semester 2",2.8,"2 hours","male",2.4,"yes",3,5
"18","year 1 semester 1",2.4,"3 hours","male",2.5,"no",1,0
"18","year 1 semester 2",2.9,"2 hours","male",2.5,"no",1,1
"18","year 2 semester 1",2,"2 hours","male",2.5,"no",2,2
"18","year 2 semester 2",2.6,"2 hours","male",2.5,"no",2,3
"18","year 3 semester 1",2.5,"2 hours","male",2.5,"no",3,4
"18","year 3 semester 2",2.7,"3 hours","male",2.5,"no",3,5
"19","year 1 semester 1",2.5,"2 hours","female",2.3,"no",1,0
"19","year 1 semester 2",2.3,"2 hours","female",2.3,"no",1,1
